no_of_locations,no_of_conditions,enrollment,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length
17,1,190,2,2,0,0,0,0,0,0,1,0,0,0,0,18,65,5,1,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2179
11,2,109,2,0,0,2,0,0,0,0,1,0,0,0,0,28,75,0,2,4,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2748
76,1,530,7,3,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,29,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1107
9,1,114,3,3,0,0,0,0,0,0,1,0,0,0,0,18,80,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1754
1,1,45,2,2,0,0,0,0,0,3,1,0,0,0,0,30,70,2,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1176
2,2,11,1,0,0,0,1,0,0,0,1,0,0,0,0,18,69,9,1,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1898
1,1,30,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1798
35,2,418,2,2,0,0,0,0,0,0,1,0,0,0,0,18,75,11,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1532
2,1,120,2,0,0,1,0,0,0,0,1,0,0,0,0,18,75,11,1,7,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,989
35,2,214,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1312
1,1,701,2,4,0,0,0,0,0,0,1,0,0,0,0,18,78,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4655
19,1,172,5,5,0,0,0,0,0,0,1,0,0,0,0,18,70,3,4,21,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,686
1,1,32,4,2,0,0,0,0,0,0,1,0,0,0,0,45,65,0,2,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3067
1,1,373,10,3,0,0,0,0,0,0,1,0,0,0,0,18,69,14,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1711
1,1,10,1,1,0,0,0,0,0,0,1,0,0,0,0,18,70,0,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1714
1,1,78,3,3,0,0,0,0,0,0,1,0,0,0,0,18,70,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,3902
1,2,1035,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,10,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3149
22,1,132,2,5,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1431
16,1,699,3,2,1,0,0,0,0,0,1,0,0,0,0,10,17,0,1,10,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,6320
1,1,30,3,0,0,0,1,0,0,0,1,0,0,0,0,18,69,3,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1323
1,1,40,2,0,1,0,0,0,1,0,1,0,0,0,0,19,79,0,1,8,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,527
3,1,77,2,0,1,0,0,1,0,0,1,0,0,0,0,18,65,4,1,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2510
1,2,28,2,2,0,0,0,0,0,0,1,0,0,0,0,30,75,0,1,22,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1654
1,1,23,2,2,0,0,0,0,0,0,0,0,0,0,0,40,80,9,2,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1081
1,1,18,3,2,0,0,0,0,1,0,1,0,0,0,0,25,75,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1724
1,1,20,2,2,0,0,0,0,0,0,1,0,0,0,0,30,75,5,5,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1363
1,1,40,2,0,0,0,0,1,0,0,1,0,0,0,0,18,69,12,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2188
1,1,57,1,0,0,0,0,1,0,0,1,0,0,0,0,28,75,67,1,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,3828
1,1,30,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,0,6,6,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1097
26,1,226,2,4,0,0,0,0,0,0,1,0,0,0,0,18,75,3,1,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,771
34,1,188,3,2,0,0,0,0,0,0,1,0,0,0,0,20,75,5,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1574
1,2,116,4,1,0,1,0,1,0,0,1,0,0,0,0,25,69,25,1,18,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,670
