study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT01868646,PHASE4,INDUSTRY,17.0,1,190.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,65.0,ALL,0.05,2013-05-27,2019-05-15,1.0,10.0,True
NCT02879383,,INDUSTRY,11.0,2,109.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,0,0,2,0,0,0,0,1,0,0,0,0,28.0,75.0,ALL,0.0,2016-08-04,2024-02-12,2.0,,True
NCT01020123,PHASE2,INDUSTRY,76.0,1,530.0,RANDOMIZED,PARALLEL,DOUBLE,7.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2009-11-11,2012-11-22,1.0,29.0,True
NCT01972724,PHASE4,INDUSTRY,9.0,1,114.0,RANDOMIZED,SINGLE_GROUP,NONE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.0,2013-10-24,2018-08-13,1.0,1.0,True
NCT01969084,PHASE4,OTHER,1.0,1,45.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,3,1,0,0,0,0,30.0,70.0,ALL,0.02,2013-08-29,2016-11-17,1.0,4.0,True
NCT02184455,PHASE1,INDUSTRY,2.0,2,11.0,,SINGLE_GROUP,NONE,1.0,0,0,0,1,0,0,0,1,0,0,0,0,18.0,,ALL,0.09,2014-07-03,2019-09-13,1.0,5.0,True
NCT02592421,PHASE3,OTHER,1.0,1,30.0,RANDOMIZED,PARALLEL,SINGLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2015-10-14,2020-09-15,2.0,2.0,True
NCT00309751,PHASE3,INDUSTRY,35.0,2,418.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.11,2005-12-08,2010-02-17,1.0,1.0,True
NCT01566981,,OTHER,2.0,1,120.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,1,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.11,2012-02-12,2014-10-28,1.0,7.0,True
NCT00344370,PHASE3,INDUSTRY,35.0,2,214.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,,,ALL,0.08,2006-06-23,2010-01-25,1.0,1.0,True
NCT00086515,PHASE3,INDUSTRY,,1,701.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,78.0,ALL,0.0,2004-07-02,2017-03-31,1.0,2.0,True
NCT02175121,PHASE2,INDUSTRY,19.0,1,172.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.03,2014-06-24,2016-05-10,4.0,21.0,True
NCT01088711,PHASE1,INDUSTRY,,1,32.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,45.0,65.0,ALL,0.0,2010-03-16,2018-08-08,2.0,5.0,True
NCT03467932,PHASE2,INDUSTRY,1.0,1,373.0,RANDOMIZED,PARALLEL,QUADRUPLE,10.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.14,2018-03-01,2022-11-06,1.0,2.0,True
NCT03829514,PHASE4,OTHER,1.0,1,10.0,,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2019-01-25,2023-10-05,1.0,,True
NCT00577590,,OTHER,1.0,1,78.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2007-12-18,2018-08-24,1.0,,True
NCT00701090,PHASE3,INDUSTRY,,2,1035.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.1,2008-06-17,2017-01-30,1.0,5.0,True
NCT01194258,PHASE2,INDUSTRY,22.0,1,132.0,RANDOMIZED,CROSSOVER,QUADRUPLE,2.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2010-08-31,2014-08-01,1.0,5.0,True
NCT00081328,PHASE3,NIH,16.0,1,699.0,RANDOMIZED,PARALLEL,QUADRUPLE,3.0,2,1,0,0,0,0,0,1,0,0,0,0,10.0,17.0,ALL,0.0,2004-04-08,2021-07-28,1.0,10.0,True
NCT01301092,PHASE1,INDUSTRY,1.0,1,30.0,RANDOMIZED,CROSSOVER,NONE,3.0,0,0,0,1,0,0,0,1,0,0,0,0,18.0,,ALL,0.03,2011-02-18,2014-10-03,2.0,2.0,True
NCT03727854,,OTHER,1.0,1,40.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,0,1,0,1,0,0,0,0,19.0,79.0,ALL,0.0,2018-10-31,2020-04-10,1.0,8.0,True
NCT00985114,,INDUSTRY,3.0,1,77.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,1,0,0,1,0,0,0,0,18.0,65.0,ALL,0.04,2009-09-25,2016-08-09,1.0,,True
NCT03596177,PHASE2,INDUSTRY,1.0,2,28.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,75.0,ALL,0.0,2018-06-11,2022-12-21,1.0,22.0,True
NCT00318656,PHASE4,INDUSTRY,,1,23.0,RANDOMIZED,PARALLEL,NONE,,2,0,0,0,0,0,0,0,0,0,0,0,40.0,80.0,ALL,0.09,2006-04-25,2009-04-10,2.0,15.0,True
NCT01207934,,OTHER,1.0,1,18.0,RANDOMIZED,PARALLEL,SINGLE,3.0,2,0,0,0,0,1,0,1,0,0,0,0,25.0,75.0,ALL,0.0,2010-09-21,2015-06-11,2.0,2.0,True
NCT00856908,PHASE2,INDUSTRY,1.0,1,20.0,RANDOMIZED,PARALLEL,SINGLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,75.0,ALL,0.05,2009-03-05,2012-11-27,5.0,8.0,True
NCT01698528,,OTHER,1.0,1,40.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,1,0,0,1,0,0,0,0,18.0,,ALL,0.12,2012-10-01,2018-09-28,1.0,4.0,True
NCT01927562,,INDUSTRY,1.0,1,57.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,1,0,0,1,0,0,0,0,28.0,75.0,ALL,0.67,2013-08-20,2024-02-12,1.0,,True
NCT02984644,PHASE3,OTHER,1.0,1,30.0,RANDOMIZED,PARALLEL,SINGLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2016-11-30,2019-12-02,6.0,6.0,True
NCT02429258,PHASE4,INDUSTRY,26.0,1,226.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.03,2015-04-08,2017-05-18,1.0,10.0,True
NCT02496000,PHASE2,INDUSTRY,34.0,1,188.0,RANDOMIZED,PARALLEL,QUADRUPLE,3.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,75.0,ALL,0.05,2015-07-08,2019-10-29,1.0,4.0,True
NCT04830969,PHASE2,OTHER,1.0,2,116.0,RANDOMIZED,PARALLEL,TRIPLE,4.0,1,0,1,0,1,0,0,1,0,0,0,0,25.0,,ALL,0.25,2021-03-31,2023-01-30,1.0,18.0,True
NCT01652729,PHASE3,INDUSTRY,60.0,1,365.0,RANDOMIZED,PARALLEL,NONE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.15,2012-07-26,2015-07-31,1.0,4.0,True
NCT01066039,PHASE4,INDUSTRY,1.0,2,202.0,,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,20.0,80.0,ALL,0.22,2010-02-08,2014-06-04,1.0,9.0,True
NCT01336738,PHASE2,INDUSTRY,44.0,1,266.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.15,2011-04-13,2013-06-05,1.0,6.0,True
NCT01359904,,OTHER,1.0,1,33.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,0,0,1,1,0,0,0,0,18.0,95.0,ALL,0.03,2011-05-23,2017-02-10,1.0,3.0,True
NCT01617603,,INDUSTRY,1.0,1,62.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,0,0,0,0,0,0,1,1,0,0,0,0,45.0,75.0,ALL,0.1,2012-06-01,2013-07-05,1.0,3.0,True
NCT02093234,,OTHER,1.0,1,166.0,RANDOMIZED,PARALLEL,NONE,3.0,0,3,0,0,0,0,0,1,0,0,0,0,21.0,75.0,ALL,0.07,2014-03-17,2017-02-21,1.0,3.0,True
NCT03550378,PHASE2,INDUSTRY,7.0,2,41.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,84.0,ALL,0.02,2018-04-27,2020-04-10,1.0,18.0,True
NCT01165983,,OTHER,1.0,1,124.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,21.0,80.0,ALL,0.12,2009-12-15,2017-02-27,6.0,14.0,True
NCT00309244,PHASE3,INDUSTRY,151.0,1,677.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.32,2006-03-27,2014-10-09,1.0,7.0,True
NCT01608724,PHASE4,INDUSTRY,37.0,1,2165.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,99.0,ALL,0.17,2012-05-28,2015-12-31,1.0,3.0,True
NCT02722499,,OTHER,1.0,5,60.0,RANDOMIZED,PARALLEL,SINGLE,3.0,0,3,0,0,0,0,0,1,0,0,0,0,21.0,100.0,ALL,0.05,2016-03-23,2024-07-10,1.0,1.0,True
NCT00411554,PHASE3,INDUSTRY,,1,319.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.05,2006-12-13,2016-02-03,1.0,2.0,True
NCT05048719,PHASE2,INDUSTRY,44.0,1,383.0,RANDOMIZED,PARALLEL,DOUBLE,9.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.08,2021-09-13,2023-09-28,1.0,6.0,True
NCT00837577,PHASE3,INDUSTRY,,1,133.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.0,2009-02-03,2017-04-10,1.0,2.0,True
NCT05158244,PHASE1,INDUSTRY,1.0,1,34.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.06,2021-12-02,2024-03-08,5.0,4.0,True
NCT01752842,,OTHER,1.0,2,70.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,65.0,ALL,0.07,2012-12-14,2019-02-26,2.0,1.0,True
NCT01406717,PHASE3,INDUSTRY,34.0,1,360.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.21,2011-07-28,2020-07-29,4.0,8.0,True
NCT00256867,PHASE3,INDUSTRY,85.0,1,369.0,RANDOMIZED,PARALLEL,,,1,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.13,2005-11-18,2018-04-02,1.0,12.0,True
