no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions,failure_score,has_result
3,1,61,2,1,18,80,18,11,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1029,2,1,0.38,1
1,3,164,15,0,18,65,-1,4,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,9,2,1,85.75,0
1,1,20,2,0,40,60,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,95.99,0
1,5,71,2,1,21,75,17,1,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4977,2,1,0.37,1
10,2,293,2,1,18,80,0,2,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,5043,3,1,2.02,1
1,4,160,2,0,40,75,-1,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,290,2,1,96.8,0
1,1,100,4,0,40,60,-1,2,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,364,4,1,96.79,0
2,5,660,5,0,18,69,-1,7,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,4898,5,1,58.08,0
3,1,82,2,1,18,70,2,1,18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,702,5,1,13.15,1
1,5,256,4,1,18,69,15,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5490,4,1,0.13,1
1,1,240,6,1,18,65,12,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1420,3,1,2.22,1
21,2,200,2,0,30,95,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,837,2,2,96.13,0
1,1,319,2,1,20,69,5,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3339,2,1,3.37,1
140,1,446,2,1,18,69,9,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2534,6,2,0.37,1
